algorithm;filename;num_vertex;min_path;milisec;cost
CheapestInsertion;data/FIS21-2.txt;21;6,14,11,2,10,0,16,18,9,4,8,7,17,1,13,3,12,5,19,15,20;54;37632
CheapestInsertion;data/FIS21-3.txt;21;3,12,11,14,15,16,6,4,13,8,18,19,20,2,1,0,7,5,9,17,10;53;32429
CheapestInsertion;data/FIS21-4.txt;21;3,18,1,9,0,16,20,11,7,5,13,10,6,2,4,14,12,17,8,15,19;60;27494
CheapestInsertion;data/FIS22-0.txt;22;18,12,17,8,5,3,1,2,4,10,14,13,15,20,21,7,19,0,11,9,16,6;67;31273
CheapestInsertion;data/FIS22-1.txt;22;20,12,13,1,6,2,9,18,21,16,11,0,3,5,19,15,10,4,8,7,14,17;69;28794
CheapestInsertion;data/FIS22-2.txt;22;12,13,1,7,0,3,19,16,10,5,2,9,18,20,21,14,6,8,15,4,11,17;69;36936
CheapestInsertion;data/FIS22-3.txt;22;3,10,1,7,0,2,11,4,13,19,15,16,14,9,6,12,8,20,18,21,5,17;68;32442
CheapestInsertion;data/FIS22-4.txt;22;6,2,16,3,18,11,19,17,21,12,5,9,0,8,14,20,15,10,13,1,4,7;58;31772
CheapestInsertion;data/FIS23-0.txt;23;1,12,21,15,6,13,4,0,2,16,7,17,8,18,14,9,10,5,3,19,20,22,11;81;33322
CheapestInsertion;data/FIS23-1.txt;23;13,22,6,18,4,14,1,15,20,12,5,10,3,7,2,17,8,21,19,9,0,11,16;78;30320
CheapestInsertion;data/FIS23-2.txt;23;1,10,8,14,19,18,21,22,12,4,20,17,0,15,11,16,3,7,5,13,9,2,6;79;35623
CheapestInsertion;data/FIS23-3.txt;23;0,16,15,21,20,9,6,8,1,7,19,17,13,14,2,11,4,12,3,10,22,18,5;77;38823
CheapestInsertion;data/FIS23-4.txt;23;7,2,3,0,1,16,9,20,21,14,8,13,6,4,22,19,17,18,12,10,5,15,11;74;32635
CheapestInsertion;data/FIS24-0.txt;24;4,11,3,0,1,15,12,16,13,20,9,7,6,5,2,22,8,23,21,10,17,19,18,14;96;41802
CheapestInsertion;data/FIS24-1.txt;24;2,9,8,16,22,18,7,3,5,6,17,21,19,23,15,20,0,4,10,12,11,13,14,1;96;31210
CheapestInsertion;data/FIS24-2.txt;24;13,4,7,1,8,3,21,18,22,20,17,19,2,15,5,16,9,11,6,14,10,12,0,23;96;31749
CheapestInsertion;data/FIS24-3.txt;24;11,14,8,6,2,1,7,15,9,16,22,18,17,5,13,0,10,20,4,19,3,21,12,23;100;31960
CheapestInsertion;data/FIS24-4.txt;24;20,23,17,9,4,5,12,14,13,15,16,19,21,6,1,0,7,10,18,11,22,3,8,2;97;34515
GeneticAlgorithm;data/FIS5-0.txt;5;0,3,4,1,2;11031;18430
GeneticAlgorithm;data/FIS5-1.txt;5;0,4,2,3,1;9929;22351
GeneticAlgorithm;data/FIS5-2.txt;5;2,3,0,1,4;9806;15356
GeneticAlgorithm;data/FIS5-3.txt;5;0,3,2,4,1;11463;21245
GeneticAlgorithm;data/FIS5-4.txt;5;4,1,0,2,3;9488;19418
GeneticAlgorithm;data/FIS6-0.txt;6;4,0,1,2,5,3;14793;15576
GeneticAlgorithm;data/FIS6-1.txt;6;0,1,3,2,4,5;14529;19436
GeneticAlgorithm;data/FIS6-2.txt;6;2,0,1,4,5,3;13205;23991
GeneticAlgorithm;data/FIS6-3.txt;6;0,5,3,1,4,2;14650;13819
GeneticAlgorithm;data/FIS6-4.txt;6;0,5,3,1,2,4;14041;16139
GeneticAlgorithm;data/FIS7-0.txt;7;2,5,0,6,3,1,4;18850;16355
GeneticAlgorithm;data/FIS7-1.txt;7;3,0,2,6,1,4,5;18460;20251
GeneticAlgorithm;data/FIS7-2.txt;7;4,3,1,2,0,5,6;18780;8243
GeneticAlgorithm;data/FIS7-3.txt;7;3,0,2,5,4,6,1;17442;19494
GeneticAlgorithm;data/FIS7-4.txt;7;3,4,6,2,5,0,1;14780;24395
GeneticAlgorithm;data/FIS8-0.txt;8;7,4,6,1,2,5,3,0;18701;19668
GeneticAlgorithm;data/FIS8-1.txt;8;5,6,3,0,7,1,2,4;18711;17845
GeneticAlgorithm;data/FIS8-2.txt;8;6,1,3,0,4,2,7,5;19704;12652
GeneticAlgorithm;data/FIS8-3.txt;8;1,2,5,7,6,0,3,4;19627;15018
GeneticAlgorithm;data/FIS8-4.txt;8;5,6,4,2,1,3,7,0;18172;19030
GeneticAlgorithm;data/FIS9-0.txt;9;4,5,6,1,3,2,7,8,0;21134;19211
GeneticAlgorithm;data/FIS9-1.txt;9;6,1,7,8,4,5,2,3,0;20251;25376
GeneticAlgorithm;data/FIS9-2.txt;9;1,5,7,0,2,3,4,6,8;18963;29033
GeneticAlgorithm;data/FIS9-3.txt;9;3,1,0,7,2,8,4,6,5;19828;17895
GeneticAlgorithm;data/FIS9-4.txt;9;0,5,8,3,6,2,7,4,1;19497;18675
GeneticAlgorithm;data/FIS10-0.txt;10;2,8,6,7,5,0,1,9,3,4;21143;20306
GeneticAlgorithm;data/FIS10-1.txt;10;6,8,3,0,4,2,5,7,1,9;20481;19192
GeneticAlgorithm;data/FIS10-2.txt;10;3,0,1,5,7,9,8,4,6,2;20928;22022
GeneticAlgorithm;data/FIS10-3.txt;10;0,8,6,7,1,5,9,3,4,2;20306;14404
GeneticAlgorithm;data/FIS10-4.txt;10;3,6,0,5,7,1,2,9,4,8;20566;15846
GeneticAlgorithm;data/FIS11-0.txt;11;0,2,5,9,1,6,8,10,7,3,4;21869;19179
GeneticAlgorithm;data/FIS11-1.txt;11;3,9,6,10,8,4,5,1,2,0,7;21755;22379
GeneticAlgorithm;data/FIS11-2.txt;11;9,0,10,2,8,1,5,3,7,4,6;21660;24475
GeneticAlgorithm;data/FIS11-3.txt;11;9,7,5,2,3,10,8,1,6,0,4;21768;26023
GeneticAlgorithm;data/FIS11-4.txt;11;3,0,4,6,10,2,8,7,9,1,5;21508;23696
GeneticAlgorithm;data/FIS12-0.txt;12;9,1,7,3,10,8,2,0,4,6,5,11;21898;28769
GeneticAlgorithm;data/FIS12-1.txt;12;10,2,3,0,1,4,6,7,8,5,9,11;22224;25426
GeneticAlgorithm;data/FIS12-2.txt;12;7,8,2,3,5,4,6,11,1,9,0,10;21973;28677
GeneticAlgorithm;data/FIS12-3.txt;12;2,11,5,8,3,1,7,4,9,10,0,6;22448;19991
GeneticAlgorithm;data/FIS12-4.txt;12;5,4,0,1,2,3,9,6,10,7,8,11;22193;29816
GeneticAlgorithm;data/FIS13-0.txt;13;6,1,9,8,11,12,4,0,2,3,10,7,5;22862;24687
GeneticAlgorithm;data/FIS13-1.txt;13;4,9,2,0,3,12,6,8,11,7,1,5,10;23026;32142
GeneticAlgorithm;data/FIS13-2.txt;13;11,5,7,1,6,0,2,4,3,8,9,10,12;23168;26856
GeneticAlgorithm;data/FIS13-3.txt;13;10,11,7,2,3,4,9,6,12,1,0,8,5;23193;22408
